Unique_ID,Substitution,Library,Sublibrary,ScreeningPlate,ScreeningWell,MALDI,Msamples,Substrate,Abs,Aerror,Asamples,Fluoro,Ferror,Fsamples
H_C4-A10_RX_4_2_F12,C4-A10,RX,4,D3P1,H08,991.4517000000001,2,NA,1.1130050546812822,1.0539578162620982,3,4.64739234726295,2.336766310285074,3
H_C4-A10_RX_4_3_C12,C4-A10,RX,4,D4P4,D09,1331.622247777778,6,Val,38.700427318905966,8.630497739985392,5,79.7822737086898,9.6518604694385,5
H_C1-A10_SL_3_1_D11,C1-A10,SL,3,D4P4,G05,1319.5214986666667,5,Ser,18.16444699244635,6.953600475408849,5,57.946060937435604,9.373936971759047,5
H_C1-A10_RX_4_1_G04,C1-A10,RX,4,D2P4,B05,991.412,2,NA,-1.2362326740323029,1.8336992155954723,3,6.708597430042551,3.8588693756881836,3
H_C4-A10_RX_2_1_G04,C4-A10,RX,2,D4P1,A09,1331.5754346666668,5,Val,56.73877089347267,12.44071648670324,5,86.90142548802484,9.963492926043683,5
H_C4-A10_SL_1_2_H07,C4-A10,SL,1,D4P3,A09,1319.5802119999998,5,Ser,1.4821326208110812,1.4881768172041399,5,12.789219668923339,4.277952119720655,5
H_C1-A10_RX_4_2_A12,C1-A10,RX,4,D2P4,B12,991.35285,2,NA,23.192105279070535,3.987297479715183,3,40.308933424024964,9.97702279977805,3
H_C1-A10_RX_3_2_G10,C1-A10,RX,3,D3P3,A10,991.3203933333332,2,NA,2.123373372355249,2.5670156398272193,3,10.10001468189539,0.8575385687484568,3
H_C1-A10_RX_3_3_C01,C1-A10,RX,3,D3P3,B12,991.3102933333332,2,NA,18.259834835832596,5.27200730261325,3,35.659683801613475,4.193579233565787,3
H_C1-A10_RX_4_3_E06,C1-A10,RX,4,D2P4,E06,1289.4881,2,Gly,-2.031887712873528,1.5312575931530303,3,3.533797948003173,4.516158026804414,3
H_C1-A10_SL_2_1_B01,C1-A10,SL,2,D2P5,A11,991.3203933333332,2,NA,5.093632931351234,1.8772138899998771,4,13.472987197603667,3.376376596169725,4
H_C4-A10_RX_1_3_F06,C4-A10,RX,1,D4P2,E09,1379.5587893333336,5,Phe,-2.162272568167464,0.9613735838578727,5,2.749800925372482,3.924570660132244,5
H_C4-A10_RX_2_3_F11,C4-A10,RX,2,D4P3,H09,1379.5933855555556,6,Phe,17.278123184943855,4.27115966103201,5,51.036236061965404,11.193545898623944,5
H_C1-A10_RX_1_1_G11,C1-A10,RX,1,D2P3,C06,991.3738866666666,1,NA,-0.053296962222028656,0.34002794045640206,3,5.488906806185646,3.238546361849461,3
H_C4-A10_RX_1_3_F03,C4-A10,RX,1,D2P1,G01,NA,0,NA,-0.3844081118385115,0.7264974815216718,3,1.3479611134644227,3.127925584757188,3
H_C4-A10_RX_1_3_F01,C4-A10,RX,1,D2P1,F12,991.4006466666667,2,NA,1.0406440038226303,2.617028502970805,3,3.180051425613667,0.2598294856202993,3
H_C1-A10_SL_2_2_H09,C1-A10,SL,2,D2P5,C03,991.3619433333333,2,NA,-0.2427004458064616,1.6436360344995038,4,2.970591653588807,2.9169690437556484,4
H_C4-A10_RX_3_1_E02,C4-A10,RX,3,D4P1,B12,1331.5813077777777,6,Val,41.204108870328845,7.726417618107615,5,78.06371036676185,9.700955669491307,5
H_C4-A10_RX_3_1_E03,C4-A10,RX,3,D1P1,D01,1331.7874733333333,1,Val,2.05554405084165,2.855889475959644,3,20.17788508608821,1.2960125063007666,3
H_C4-A10_SL_4_2_G10,C4-A10,SL,4,D1P2,H11,NA,0,NA,1.5205813480021846,1.6800498475217835,3,3.7476089764610894,1.3622053895644617,3
H_C4-A10_RX_3_1_A12,C4-A10,RX,3,D4P1,B06,1303.572941111111,6,Ala,-0.8925352486236727,1.583511179613572,5,9.664904369195362,4.103309079663187,5
H_C4-A10_RX_3_1_E06,C4-A10,RX,3,D1P1,D03,991.4656733333333,1,NA,0.999740398580347,2.8423410698484486,3,7.337668883448701,1.5968733721651525,3
H_C4-A10_SL_4_1_A02,C4-A10,SL,4,D1P2,F01,NA,0,NA,1.2515415083387698,0.571739650796561,3,9.010618086837967,2.053029133681024,3
H_C4-A10_SL_4_1_A03,C4-A10,SL,4,D1P2,F02,991.4456233333333,2,NA,6.63235036915628,3.916761361679825,3,13.948463256214156,4.4214493366859084,3
H_C4-A10_SL_3_3_E12,C4-A10,SL,3,D1P2,E03,991.4127733333332,2,NA,4.962589173500443,1.1993317124086875,3,10.896644931010675,2.099841439736409,3
H_C1-A10_SL_2_1_G07,C1-A10,SL,2,D2P5,B03,991.3530933333332,2,NA,-1.0195518492816291,1.66562487131406,4,2.566655917649304,3.9212909128170894,4
