L16,"991.7476(R14253,S237)",,
L17,"1346.1300(R17726,S106)",,
L18,1391.1,"991.7641(R13061,S265)",
L19,1396.1,,
L20,"991.7783(R13770,S541)",,
L21,"1320.0879(R14733,S1611)",,
L22,"991.8088(R12606,S936)",,
L23,"1320.0784(R15061,S656)",,
L24,N,,
M1,"991.6971(R15805,S175)",,
M2,N,,
M3,"991.6971(R15805,S175)",,
M4,"991.7255(R12450,S1570)",,
M5,"1332.0220(R14947,S2306)",,
M6,"1332.0227(R14666,S573)",,
M7,"1303.9824(R14734,S125)",,
M8,"1289.9458(R15866,S74)","991.7189(R12450,S85)",
M9,"1346.0356(R19077,S74)",,
M10,"991.7436(R13329,S108)",,
M11,1362.03,"991.7436(R13329,S108)",
M12,"1332.0319(R14226,S223)","1289.9677(R14616,S57)",
M13,"1332.0433(R14171,S1273)",,
M14,"991.7526(R11991,S1084)",,
M15,"1332.0786(R12914,S1760)",,
M16,1334.05,,
M17,"1332.1027(R13356,S2358)",,
M18,"1334.0831(R14930,S176)",,
M19,"1332.0922(R15544,S301)",,
M20,"1304.0750(R13874,S1841)",,
M21,"1380.1392(R14896,S890)",,
M22,"1334.0997(R14768,S1980)",,
M23,1332.09,,
M24,N,,
N1,N,,
N2,"991.7128(R11834,S207)",,
N3,"1332.0021(R15325,S609)",,
N4,"991.7171(R12595,S2834)",,
N5,"991.7171(R12595,S2834)",,
N6,"1332.0244(R14007,S436)",,
N7,"1332.0209(R14152,S930)",,
N8,"1289.9539(R15117,S127)","991.7170(R15128,S124)",
N9,"991.7170(R15128,S124)",,
N10,"991.7170(R15128,S124)",,
N11,"1332.0685(R13471,S1799)",,
N12,"1332.0161(R14134,S246)",,
N13,"1289.9714(R13904,S614)",,
N14,"991.7379(R10978,S1370)",,
N15,1289.95,,
N16,1334.05,,
N17,"1332.0743(R16190,S377)",,
N18,"1334.0703(R14991,S314)",,
N19,"1290.0385(R13030,S3910)",,
N20,N,,
N21,"1361.1147(R14406,S557)",,
N22,N,,
N23,"991.7947(R17050,S177)",,
N24,N,,
O1,N,,
O2,N,,
O3,N,,
O4,"991.7153(R12017,S571)",,
O5,"1320.0009(R14652,S2547)",,
O6,1319.98,,
O7,"1380.0477(R13720,S2799)",,
O8,N,,
O9,"1380.0116(R15093,S360)",,
O10,N,,
O11,"1303.9565(R15108,S377)",,
O12,1304.02,,
O13,"1332.0594(R13356,S3543)",,
O14,991.8,,
O15,"991.7300(R15143,S69)",,
O16,N,,
O17,1290,,
O18,N,,
O19,"1290.0067(R19314,S63)",,
O20,"1290.0549(R12119,S186)",,
O21,"1332.0845(R15792,S508)",,
O22,1320.08,,
O23,N,,
O24,N,,
P1,N,,
P2,N,,
P3,1332.04,,
P4,N,,
P5,N,,
P6,N,,
P7,1331.95,,
P8,991.75,,
P9,1332,,
P10,N,,
P11,1332.03,,
P12,N,,
P13,N,,
P14,N,,
P15,N,,
P16,991.8,,
P17,N,,
P18,N,,
P19,1320.06,,
P20,N,,
P21,N,,
P22,N,,
P23,N,,
P24,N,,
CAL4,,,
