J5,"1360.5878(R15373,S738)","1333.5791(R14803,S528)",
J6,"1332.5923(R14974,S164)","991.4290(R11327,S733)",
J7,"1333.5952(R14547,S3536)",,
J8,"1331.6088(R15150,S7054)",,
J9,"1319.5483(R15076,S5318)",,
J10,"1331.6008(R14525,S8098)",,
J11,"1289.5358(R15535,S520)","1345.5966(R14260,S343)",
J12,"1331.5859(R15213,S4278)",,
J13,"1333.5509(R15026,S283)",,
J14,"1395.5690(R16497,S623)",,
J15,"1303.5654(R14998,S4395)",,
J16,"1331.5903(R16329,S9671)",,
J17,"1345.6259(R13744,S54)",,
J18,"1331.6088(R15451,S7608)",,
J19,"1345.6108(R15975,S168)",,
J20,"1331.6022(R15809,S7270)",,
J21,"1289.5454(R14713,S800)",,
J22,"1303.5548(R15543,S4089)",,
J23,"1289.5294(R14984,S2386)",,
J24,"1331.5677(R15878,S7155)",,
K1,"1331.4385(R14037,S1030)",,
K2,"1303.5856(R14163,S1442)",,
K3,"991.4492(R11487,S2087)",,
K4,"1303.5721(R13298,S1478)",,
K5,"1289.5662(R14611,S501)",,
K6,"1331.6154(R15214,S6829)",,
K7,"1289.5441(R13899,S1013)",,
K8,"1331.6040(R15066,S6987)",,
K9,"1345.6097(R16234,S59)",,
K10,"1331.5941(R15994,S6517)",,
K11,"1379.5858(R14792,S1147)",,
K12,"1289.5364(R15005,S182)",,
K13,"1360.5717(R15676,S9380)",,
K14,"1331.6086(R14448,S3467)",,
K15,"1289.5330(R15287,S631)",,
K16,"1303.5405(R14125,S1426)",,
K17,"1360.6084(R14861,S7725)",,
K18,"1303.5608(R15019,S2094)",,
K19,"1379.5927(R15293,S1536)",,
K20,"1303.5593(R15104,S2160)",,
K21,"1289.5554(R13827,S779)",,
K22,"1331.6146(R14057,S8407)",,
K23,"1289.5287(R16635,S626)",,
K24,"1289.5210(R14590,S3229)",,
L1,"1360.4197(R14979,S8463)",,
L2,"1289.5703(R13845,S2247)",,
L3,"1360.6034(R14589,S1489)",,
L4,"1289.5620(R13440,S2722)",,
L5,"1289.5472(R14198,S365)","991.4286(R10228,S1507)",
L6,"1395.5732(R16641,S144)",,
L7,"1333.5651(R15194,S813)",,
L8,"1331.5948(R15650,S7737)",,
L9,"1319.5396(R13495,S122)",,
L10,"1303.5510(R13315,S1181)",,
L11,"1303.5369(R14411,S531)",,
L12,"1331.5775(R14681,S3913)",,
L13,"1333.5442(R17258,S121)",,
L14,"1331.5935(R15066,S8796)",,
L15,"1303.5613(R14469,S4727)",,
L16,"1331.5812(R14902,S3625)",,
L17,"1395.5975(R14582,S2009)",,
L18,"1331.5992(R15364,S7433)",,
L19,"1289.5299(R15221,S906)",,
L20,"1331.6016(R15385,S7912)",,
L21,"1333.6078(R14042,S9681)",,
L22,"1331.6091(R14353,S6188)",,
L23,"1303.5409(R17768,S149)",,
L24,"1331.5782(R14505,S8067)",,
M1,"1319.3837(R15755,S342)",,
M2,"1331.6002(R14391,S3258)",,
M3,"1319.5802(R13683,S471)",,
M4,"1395.5979(R14097,S1091)",,
M5,"1319.5659(R13312,S606)",,
M6,"1331.6012(R13401,S2743)",,
M7,"991.4304(R13152,S3772)",,
M8,"1331.6021(R13079,S8840)",,
M9,"1346.5702(R14142,S4392)",,
M10,"1331.6017(R14622,S11629)",,
M11,"1361.5326(R15512,S459)",,
M12,"1369.5520(R15411,S868)",,
M13,"1333.5475(R14742,S87)",,
M14,"1369.5653(R14723,S1251)",,
M15,"1333.5698(R15026,S3899)",,
