H19,"1379.5635(R13233,S534)",,
H20,"1379.6080(R12741,S2532)",,
H21,"1331.6030(R12596,S6220)",,
H22,"1303.5431(R12865,S2648)","1333.5446(R12792,S1045)",
H23,"1331.5903(R12728,S5693)",,
H24,"1333.5372(R12821,S926)",,
I1,N,"1331.4316(R11290,S175)",
I2,"1331.6315(R12714,S3821)",,
I3,"1303.5844(R11813,S334)",,
I4,"1331.6199(R12699,S4552)",,
I5,"1289.5488(R12018,S378)",,
I6,"1331.6023(R12610,S3217)",,
I7,"1319.5479(R11698,S219)",,
I8,"1319.5444(R11573,S173)","991.4207(R9738,S503)",
I9,"1303.5383(R12727,S423)",,
I10,"1303.5402(R12975,S124)","991.4171(R10313,S407)",
I11,"1319.5261(R12255,S109)",,
I12,"1319.5359(R11918,S223)",,
I13,"1360.5520(R12636,S64)","991.4095(R9549,S194)",
I14,"1289.5288(R11482,S416)",,
I15,"1345.5923(R13014,S438)",,
I16,"1331.6183(R12596,S5007)",,
I17,"1319.5361(R12269,S376)",,
I18,"1331.6106(R12481,S4353)",,
I19,"1303.5676(R12652,S538)",,
I20,"1303.5553(R12274,S221)","991.4256(R10466,S568)",
I21,"1333.5835(R12456,S949)",,
I22,"1331.5820(R13286,S4326)",,
I23,"1303.5378(R12652,S15)",,
I24,"1331.5850(R12654,S4437)",,
J1,"1289.3967(R12239,S261)","1331.4103(R10193,S106)",
J2,"1331.6224(R12481,S4031)",,
J3,"1303.5814(R12504,S1552)",,
J4,"1331.6287(R12467,S3942)",,
J5,"1360.5897(R13300,S101)","1333.5809(R12959,S82)",
J6,"1332.5767(R10506,S71)","991.4247(R9282,S621)",
J7,"1333.5570(R12044,S1512)",,
J8,"1331.5750(R12423,S4643)",,
J9,"1319.5311(R11711,S1732)",,
J10,"1331.5775(R12970,S5688)",,
J11,"1289.5161(R11469,S153)","1345.5739(R12802,S139)",
J12,"1331.5697(R12325,S2749)",,
J13,"1333.5303(R12702,S81)",,
J14,"1395.5674(R12494,S335)",,
J15,"1303.5355(R12162,S1487)",,
J16,"1331.5867(R12684,S4035)",,
J17,"1345.5990(R11891,S11)",,
J18,"1331.5977(R13126,S5957)",,
J19,"1345.6075(R11764,S39)","991.4359(R9477,S142)",
J20,"1331.6111(R11543,S3739)",,
J21,"1289.5394(R11432,S170)","991.4270(R9004,S806)",
J22,"1303.5591(R12274,S2420)",,
J23,"1289.5376(R11950,S1071)",,
J24,"1331.5681(R13222,S5107)",,
K1,"1331.4259(R11326,S361)",,
K2,"1303.5844(R11348,S487)",,
K3,"991.4459(R9600,S1020)",,
K4,"1303.5806(R11519,S902)",,
K5,"1289.5383(R12128,S43)","991.4261(R9373,S247)",
K6,"1331.6025(R12699,S4696)",,
K7,"1289.5460(R11570,S346)","991.4288(R9934,S830)",
K8,"1331.5906(R12424,S6338)",,
K9,"1345.5818(R10764,S32)","991.4069(R9202,S183)",
K10,"1331.5753(R12367,S4272)",,
